ID,Number Transactions,Total Amount
34,18467,473737.17
2481,18442,467418.13
377,17654,450511.74
394,16641,424598.61
225,13602,345603.18
4675,9190,228734.08
12785,6252,161507.49
2811,5924,149940.13
6139,5273,133556.28
4697,5002,123628.66
498,4643,119040.96
5398,4073,100340.23
4793,3815,97792.41
5245,3785,94294.23
5050,3684,90907.39
12671,3671,93875.29
8861,3586,90038.51
217,3468,87034.85
2470,3432,85112.58
3450,3422,84602.85
546,3261,83327.04
46,3208,79208.2
2485,3128,79398.19
15,3096,77740.67
5490,3012,75106.14
3451,2969,72590.83
143,2942,73882.79
216,2871,73390.7
2813,2854,69967.21
10114,2747,69904.04
11782,2721,68347.26
175,2699,68349.6
19164,2618,66166.81
6386,2601,66913.25
5952,2547,65030.44
11811,2544,64090.98
15026,2508,65166.99
7462,2506,62562.71
381,2487,60562.69
7812,2457,62733.41
1521,2373,59280.08
400,2336,57436.23
5900,2324,57387.93
5715,2305,57268.92
403,2279,56997.08
11896,2279,58001.94
15014,2237,56714.43
16969,2223,56266.85
5057,2208,53970.45
6289,2187,54501.22
5421,2183,54162.91
6168,2167,55012.79
4755,2141,53216.93
1622,2096,51740.3
835,2077,52888.84
5457,2074,52864.65
3882,2024,49853.04
63813,2020,50127.42
6209,2015,50068.97
4808,2014,50756.48
58190,1997,50582.58
6120,1993,50193.73
8242,1991,49589.78
397,1985,50039.02
18768,1953,49852.56
2863,1943,47281.05
85,1925,48143.41
12166,1925,48632.37
5579,1915,48201.35
5532,1882,46724.52
5198,1874,44852.12
1026,1862,47524.57
5107,1859,45641.28
1273,1858,46991.41
58,1853,46741.6
21680,1850,47172.25
7649,1834,45458.94
2771,1826,45617.83
7669,1814,44017.21
7338,1804,45755.25
602,1803,44783.0
40116,1794,46138.61
2539,1779,42835.65
2216,1775,44387.62
12828,1770,44363.99
6602,1768,44507.59
38414,1764,45122.41
2366,1761,44029.4
3081,1760,44784.41
4669,1760,42896.35
1874,1748,42496.01
408,1745,43809.61
9626,1740,43667.16
1120,1732,43542.07
6089,1724,41706.15
23735,1724,44188.22
4852,1700,42570.96
416,1698,42228.19
12890,1694,43265.06
47,1692,42579.1
